2021-03-19 00:38:44.988839: Observing: GPS-BIIF-3---PRN-24-
2021-03-19 03:16:24.449094 [0.0, -1.1111111111111112]
2021-03-19 03:16:58.407642 [0.0, -4.444444444444445]
2021-03-19 03:17:32.291716 [-4.444444444444445, 0.0]
2021-03-19 03:18:09.426796 [-1.1111111111111112, 0.0]
2021-03-19 03:18:43.535791 [0.0, 0.0]
2021-03-19 03:19:14.403867 [1.1111111111111112, 0.0]
2021-03-19 03:19:45.506113 [4.444444444444445, 0.0]
2021-03-19 03:20:19.617264: Observing: GPS-BIIF-1---PRN-25-
2021-03-19 03:20:19.617302: Az, el, state: 204.57, 55.63, Setting
2021-03-19 03:20:20.879193 [0.0, 4.444444444444445]
2021-03-19 03:21:27.301748 [0.0, 1.1111111111111112]
2021-03-19 03:22:01.315888 [0.0, 0.0]
2021-03-19 03:22:35.283128 [0.0, -1.1111111111111112]
2021-03-19 03:23:07.275949 [0.0, -4.444444444444445]
2021-03-19 03:23:41.342405 [-4.444444444444445, 0.0]
2021-03-19 03:24:18.745053 [-1.1111111111111112, 0.0]
2021-03-19 03:24:52.426181 [0.0, 0.0]
2021-03-19 03:25:26.392308 [1.1111111111111112, 0.0]
2021-03-19 03:25:57.321882 [4.444444444444445, 0.0]
2021-03-19 03:26:31.350956 [0.0, 4.444444444444445]
2021-03-19 03:27:05.303390 [0.0, 1.1111111111111112]
2021-03-19 03:27:42.332334 [0.0, 0.0]
2021-03-19 03:28:13.245678 [0.0, -1.1111111111111112]
2021-03-19 03:28:44.533764 [0.0, -4.444444444444445]
2021-03-19 03:29:18.557586 [-4.444444444444445, 0.0]
2021-03-19 03:29:58.768138 [-1.1111111111111112, 0.0]
